Timestamp,Question:,Option A,Option B,Option C,Option D,Correct answer
,Který fotbalový tým vyhrál FIFA World Cup v roce 2018?,Francie,Brazílie,Německo,Argentina,A
,"Aká je správna zdrobnelina slova ""guľa""?",guľa,guľôn,guľôčka,guľočká,C
,Kdo vyhrál v roce 2023 Tour de France?,Svorada,Evenpoel,Vingegaard,Pogačar,C
,Jaká stanice pražského metra leží na trasách A a B?,Můstek,Florenc,Kladno,Ječná,A
,Čo sú to bandurky po slovensky? Slovo pochádza z oravského nárečia.,zemiaky,kapusta,chlieb,mkrva,A
,Co je to veselá kopa?,Šedesát vtipálků.,60 šprímařů.,Pět tuctů klaunů.,"Šprýmař, vtipálek.",D
,Proč je dnes venku taková zima?,Kvůli teplotnímu rozhraní způsobenému prohlubující se tlakovou níží.,Protože letos natávají extrémní výkyvy počasí.,Protože je nízká teplota.,Fouká studený vítr.,A
,Kdy byla premiéra hry Posel z Liptákova?,Minulý pátek,"Ještě nebyla, bude v roce 2025, nejspíše únor.",20. dubna 1977,13. prosince 1982,C
,Kto napísal Chrám matky božej v Paríži?,Charles Dickens,Victor Hugo,J.D.Salinger,Alexander Dumas,B
,Kolik je stříkaček ve slavné říkance?,333,milión,9,666,A
,Kdy zmrzne peklo?,Na začátku vesmíru,Na konci vesmíru,Při absolutní nule.,To se nestane.,D
,Jaké číslo je prvočíslo?,Každé liché číslo dělitelné samo sebou,Číslo dělitené pouze samo sebou a 1,Číslo z Fibonaciho posloupnosti,Čislo 100,B
,Jaký je rozdíl mezi lamou a alpakou?,lama je menší než alpaka,alpaka je menší než lama,alpaka je větší než lama,lama není větší než alpaka,B
,ake je narodne zviera skotska?,ovca,orol,jednorozec,kon,C
,Koľko váži kilo peria?,5,2,"2,5",1,D
,Aka je farba mrkve ?,Oranžová,Červená,Modrá,Fialová,A
,Čo je to fono v jazyku ulice?,telefón,fotoaparát,nástroj na fajčenie,kamarát,C
,"Na ostrově je Adam, Bruno, Cecil a David. Všichni na ostrově mluví pravdu. Adam řekne, že nejvyšší z této čtveřice má modrý klobouk. Bruno řekne, že má svůj zelený klobouk v batohu. Cecil řekne, že muži z této čtveřice mají modrý, zelený, žlutý a červený klobouk a až na jednoho jsou trpaslíci. David řekne, že není trpaslík. Jakou barvu má Davidův klobouk?",Modrou,Zelenou,Žlutou,Červenou,A
,Co jsou to amarouny?,"Amaroun je malý, plachý hlodavec žijící v polích úrodné Jižní Moravy. Živí se především Pražáky (obyvateli Prahy).","Amarouny jsou fiktivní potravina budoucnosti z populárního sci-fi seriálů Návštěvníci, vysílaného Českou televizí v 80. letech 20. století. Jsou proslulé svým nevalným vzhledem podobným želatině a nudnou chutí.","Amarouny (lidově) jsou speciální háčky na záclony, prodávané v 70. letch 20. století v prodejnách Tuzex.","Amaroun je malý brouk podobný švábům. Živí se drobky a zbytky jídla ve škvírách typicky pod kuchyňskou linkou. Je obtížné se jich zbavit, jsou odolní vůči insekticidům i radiaci.",B
,Kto je to kleptoman?,"Človek, ktorý sa klepe","Človek, ktorý produkuje klepajúci zvuk",Muž s menom klepto,Človek s chorobným sklonom k drobným krádežiam,D
